Document name,Coded Segments,Codes,Var1,Var2 ,Polarity,Comments
Brown_2021_Changes in retail sales of tobacco products in Ontari,Per capita sales ??of non-menthol cigarettes increased by 0.4% in Ontario. Non-menthol cigarette per capita unit sales decreased by 3.2% in BC,"Menthol Flavor Ban
+(S)
non-menthol cigarettes sales
Agree",Menthol Flavor Ban,non-menthol cigarettes sales,+(S),Review: Change V2 to just sales of non-menthol cigarettes
Brown_2021_Changes in retail sales of tobacco products in Ontari,Total cigarette sales decreased by 4.2% in Ontario and by 3.2% ??in BC.,"Menthol Flavor Ban
- (O)
Total cigarette sales (+)
Agree",Menthol Flavor Ban,Total cigarette sales (+),- (O), 
Brown_2021_Changes in retail sales of tobacco products in Ontari,Per capita sales of cigarettes with menthol-suggestive descrip?tors were higher in Ontario than in BC during both study ??periods. Sales increased by 2.7% in Ontario and decreased by ??2.6% in BC after implementation of the Ontario policy,"Menthol Flavor Ban
+(S)
Sales of cigarettes with menthol-suggestive descriptors (+)
Agree",Menthol Flavor Ban,Sales of cigarettes with menthol-suggestive descriptors (+),+(S), 
Brown_2021_Changes in retail sales of tobacco products in Ontari,Total unit sales of cigarettes with ‘green’ in the description ??(a subset of menthol-suggestive descriptors) decreased 2.5% in ??Ontario from pre-policy to post-policy periods,"Menthol Flavor Ban
- (O)
Sales of cigarettes with menthol-suggestive descriptors (+)
Agree",Menthol Flavor Ban,Sales of cigarettes with menthol-suggestive descriptors (+),- (O),Review: V2 should be more specific like Sales of menthol-suggestive Cigarettes with green descriptors
Brown_2021_Changes in retail sales of tobacco products in Ontari,"Per capita sales of RYO tobacco increased ??slightly from 45 to 49 units per capita in Ontario from pre-policy to post-policy, and remained considerably lower than in ??BC, where sales shifted from 549 to 457 units per capita.","Menthol Flavor Ban
+(S)
per capita sales of roll-your-own tobacco
Agree",Menthol Flavor Ban,per capita sales of roll-your-own tobacco,+(S), 
Buckell_2018_Should flavours be banned in cigarettes and e-cigar,younger adult smokers prefer menthol cigarettes,"Being young adult smoker
+(S)
Preference for menthol cigarettes (vs non-menthol)
Agree",Being young adult smoker,Preference for menthol cigarettes (vs non-menthol),+(S),"""Specifically, younger adult smokers prefer menthol cigarettes and all flavoured (including tobacco) e-cigarettes. Older adult smokers prefer tobacco cigarettes. """
Buckell_2018_Should flavours be banned in cigarettes and e-cigar,all flavoured (including tobacco) e-cigarettes.,"Being young adult smoker
+(S)
Preference for flavored e-cigarettes
Agree",Being young adult smoker,Preference for flavored e-cigarettes,+(S),"""Specifically, younger adult smokers prefer menthol cigarettes and all flavoured (including tobacco) e-cigarettes. Older adult smokers prefer tobacco cigarettes."""
Buckell_2018_Should flavours be banned in cigarettes and e-cigar,"African-Americans,","Being African American (+)
+(S)
Preference for menthol cigarettes (vs non-menthol)
Agree",Being African American (+),Preference for menthol cigarettes (vs non-menthol),+(S),"""African-Americans, those with higher education, and those who report low health prefer menthol cigarettes. Those with higher education also prefer e-cigarettes of all flavours."""
Buckell_2018_Should flavours be banned in cigarettes and e-cigar,higher education,"Education Level (+) (+) (+) (+)
+(S)
Preference for menthol cigarettes (vs non-menthol)
Agree",Education Level (+) (+) (+) (+),Preference for menthol cigarettes (vs non-menthol),+(S),"""African-Americans, those with higher education, and those who report low health prefer menthol cigarettes. Those with higher education also prefer e-cigarettes of all flavours."" Review: V1 should just be education level"
Buckell_2018_Should flavours be banned in cigarettes and e-cigar,those who report low health prefer ??menthol cigarettes.,"Self-reported health
- (O)
Preference for menthol cigarettes (vs non-menthol)
Agree",Self-reported health,Preference for menthol cigarettes (vs non-menthol),- (O),Review: V1 should be self-reported health and the polarity needs to be -
Buckell_2018_Should flavours be banned in cigarettes and e-cigar,Those with higher education also prefer ??e-cigarettes of all flavours.,"Education Level (+) (+) (+) (+)
+(S)
Preference for flavored e-cigarettes
Agree",Education Level (+) (+) (+) (+),Preference for flavored e-cigarettes,+(S),Review: V1 should just be education level
Buckell_2018_Should flavours be banned in cigarettes and e-cigar,vapers prefer e-cigarettes ??to cigarettes.,"Being a vaper
+(S)
preference for e-cigarettes (over combustible cigarettes)
Agree",Being a vaper,preference for e-cigarettes (over combustible cigarettes),+(S), 
Buckell_2018_Should flavours be banned in cigarettes and e-cigar,"Results show that policy-makers seeking to minimise the use ??of cigarettes should ban only menthol in cigarettes (policy alter?native 3). This results in the lowest choice of cigarettes which, ??at 40.0%, represents a 5.2% reduction in the percentage of ciga?rette choices","Menthol cigarette ban (while flavored e-cigarettes are legal)
- (O)
Current Cigarette smoking (+) (+)
Agree",Menthol cigarette ban (while flavored e-cigarettes are legal),Current Cigarette smoking (+) (+),- (O),Review: Split into two causal linkage 1) Menthol Cig Ban > (-) Current Cig Smoking 2) E-cig Flavor Ban > (+) Current Cig Smoking
Buckell_2018_Should flavours be banned in cigarettes and e-cigar,"Importantly, a ban on all e-cigarette flavours but tobacco is ??an inferior option for either of the above goals, as alternative ??5 indicates. Although this comprehensive ban would result in ??the largest reduction in selecting either product, selection of ??cigarettes would increase from 45.2% to 53.5%. Unfortunately, ??8.3% would change from e-cigarettes to cigarettes and only ??around 3.0% would change from e-cigarette to ‘none.’ Thus, ??this policy would likely drive current e-cigarette users towards ??vaping or smoking more than towards abstinence.","E-cigarette flavor ban
+(S)
Current Cigarette smoking (+) (+)
Agree",E-cigarette flavor ban,Current Cigarette smoking (+) (+),+(S), 
Buckell_2022_Harm reduction for smokers with little to no quit i,Simulations indicate that the response of individuals’ choices ??to a cigarette menthol ban would be a small reduction in ciga?rette choice shares (0.5%,"Menthol Cigarette Ban
- (O)
Current Cigarette smoking (+) (+)
Agree",Menthol Cigarette Ban,Current Cigarette smoking (+) (+),- (O),"""Simulations indicate that the response of individuals’ choices to a cigarette menthol ban would be a small reduction in cigarette choice shares (0.5%) and small increases in the choice shares for both pod e-cigarettes (2.7%) and disposable ecigarettes (2.8%)"""
Buckell_2022_Harm reduction for smokers with little to no quit i,small increases in the choice ??shares for both pod e-cigarettes (2.7%),"Menthol Cigarette Ban
+(S)
E-cigarette use (+)
Agree",Menthol Cigarette Ban,E-cigarette use (+),+(S),"""Simulations indicate that the response of individuals’ choices to a cigarette menthol ban would be a small reduction in cigarette choice shares (0.5%) and small increases in the choice shares for both pod e-cigarettes (2.7%) and disposable ecigarettes (2.8%)"""
Buckell_2022_Harm reduction for smokers with little to no quit i,"Increasing the relative prices of cigarettes by 50% ??would result in a reduction in the cigarette choice share (1.0%),","Cigarette price
- (O)
Current Cigarette smoking (+) (+)
Agree",Cigarette price,Current Cigarette smoking (+) (+),- (O), 
Buckell_2022_Harm reduction for smokers with little to no quit i,"a modest increase in the choice-share of both pod e-cigarettes ??(3.1%), and a more pronounced increase in the choice share of ??disposable e-cigarettes (11.5%).","Cigarette price
+(S)
E-cigarette use (+)
Agree",Cigarette price,E-cigarette use (+),+(S),"""Increasing the relative prices of cigarettes by 50% would result in a reduction in the cigarette choice share (1.0%), a modest increase in the choice-share of both pod e-cigarettes (3.1%), and a more pronounced increase in the choice share of disposable e-cigarettes (11.5%)."""
Buss et al_2024_Smoking prevalence and purchasing of menthol cig,"Figure 2 shows that the prevalence of menthol cigarette ??smoking was relatively stable over time in England, at 16.2% ??in the first quarter (Q4 2020) and 14.2% in the final quarter ??(Q1 2023; PR 0.88, 95%CI 0.72 to 1.06)","Time Post-Menthol-Ban (+)
=
Menthol Cigarette Smoking
Agree",Time Post-Menthol-Ban (+),Menthol Cigarette Smoking,=, 
Buss et al_2024_Smoking prevalence and purchasing of menthol cig,"In Wales, the prevalence decreased ??by almost two-thirds over time, from 22.5% in the first quarter ??to 8.1% in the last quarter (PR 0.36, 95%CI 0.19 to 0.62).","Time Post-Menthol-Ban (+)
- (O)
Menthol Cigarette Smoking
Agree",Time Post-Menthol-Ban (+),Menthol Cigarette Smoking,- (O), 
Buss et al_2024_Smoking prevalence and purchasing of menthol cig,"Table 3 shows the sources of purchase among those who smoked ??menthol cigarettes compared with those only smoking non-flavoured cigarettes (unweighted data in online supplemental ??table S5). The main sources were newsagents/off-licence/corner ??shops and supermarkets. There were no noteworthy differences ??between the two groups. Most participants reported purchasing ??through licit sources (for menthol cigarette smoking: 93.9%, ??95%CI 92.2% to 95.5%; for non-flavoured cigarette smoking: ??93.5%, 95%CI 92.7% to 94.2%).","Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
=
Licit Purchasing
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Licit Purchasing,=, 
Buss et al_2024_Smoking prevalence and purchasing of menthol cig,Illicit sources of purchase ??were reported by 14.8% (95% CI 12.2% to 17.3%) of those ??smoking menthol cigarettes and 12.5% (95% CI 11.5% to ??13.5%) of those smoking only non-flavoured cigarettes.,"Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
=
Illicit Purchasing
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Illicit Purchasing,=, 
Buss et al_2024_Smoking prevalence and purchasing of menthol cig,Cross-border purchases were reported by 11.5% (95% CI 9.2% to ??13.8%) of participants smoking menthol cigarettes and 9.9% ??(95% CI 9.0% to 10.8%) of participants smoking only non-flavoured cigarettes.,"Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
=
Cross Border Purchasing (+)
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Cross Border Purchasing (+),=, 
Chaiton et al_2020_Ban on menthol-flavoured tobacco products pre,"19% of baseline smokers reported ??successfully quitting smoking, and 56% reported making a quit ??attempt after the ban (table 1).","Menthol Cigarette Ban
+(S)
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",Menthol Cigarette Ban,Quit Attempts (Post Ban) (+) (+) (+) (+),+(S), 
Chaiton et al_2020_Ban on menthol-flavoured tobacco products pre,"Menthol users, both daily and occasional, were more likely to ??report having quit smoking","Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
+(S)
Quitting smoking post-menthol ban (+)
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Quitting smoking post-menthol ban (+),+(S),"""Menthol users, both daily and occasional, were more likely to report having quit smoking (24% and 20% vs 14%; p=0.014) or having made a quit attempt (63% and 62% vs 43%; p"
Chaiton et al_2020_Ban on menthol-flavoured tobacco products pre,having made a quit attempt,"Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
+(S)
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Quit Attempts (Post Ban) (+) (+) (+) (+),+(S),"""Menthol users, both daily and occasional, were more likely to report having quit smoking (24% and 20% vs 14%; p=0.014) or having made a quit attempt (63% and 62% vs 43%; p"
Chaiton et al_2020_Ban on menthol-flavoured tobacco products pre,Daily menthol ??smokers reported an average of 1.9 quit attempts (0.42 SE) since ??the ban compared with 1.7 (0.17 SE) attempts among occa?sional menthol smokers and 1.0 attempts (0.12 SE) among non-menthol smokers.,"Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
+(S)
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Quit Attempts (Post Ban) (+) (+) (+) (+),+(S), 
Chaiton et al_2020_Ban on menthol-flavoured tobacco products pre,"Daily menthol smokers had significantly higher rate ??of reporting having quit smoking after the ban (adjusted rate ??ratio (ARR) 1.62; 95% CI 1.08 to 2.42) compared with non-menthol smokers, controlling for smoking and demographic ?characteristics.","Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
+(S)
Quitting smoking post-menthol ban (+)
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Quitting smoking post-menthol ban (+),+(S), 
Chaiton_2018_Association of Ontario's Ban on Menthol Cigarettes ,". Of those who made a quit ?attempt, 16 (80.0%; 95% CI, 56.3%-92.5%) of those who pri?marily smoked menthol cigarettes at baseline suggested ?that the ban affected their decision to quit at least a little ?compared with 10 (25.6%; (95% CI, 14.1%-41.0%) of those ?who smoked menthol cigarettes only occasionally.","Primarily smoking menthol cigarettes pre-ban (vs smoking menthols only occasionally)
+(S)
Reporting that the menthol cigarette ban influenced their decision to quit smoking
Agree",Primarily smoking menthol cigarettes pre-ban (vs smoking menthols only occasionally),Reporting that the menthol cigarette ban influenced their decision to quit smoking,+(S), 
Chaiton_2018_Association of Ontario's Ban on Menthol Cigarettes ,Although a substantial decrease in ?menthol cigarette use was observed,"Menthol Cigarette Ban
- (O)
Menthol Cigarette Smoking
Agree",Menthol Cigarette Ban,Menthol Cigarette Smoking,- (O),"""Before the ban, most menthol smokers (123 [59.7%]) said that they would switch to or only use nonmenthol cigarettes, but only 51 (28.2%) had done so at follow-up (Table). In contrast, a larger proportion (60 [29.1%]) attempted to quit compared with only 30 (14.5%) who said they would do so."""
Chaiton_2018_Association of Ontario's Ban on Menthol Cigarettes ,there was a consider?able increase in use of flavored e-cigarettes and cigars,"Menthol Cigarette Ban
+(S)
Flavored e-cigarette use post ban
Agree",Menthol Cigarette Ban,Flavored e-cigarette use post ban,+(S),"""Similarly, a larger proportion (60 [29.1%]) reported using other flavored tobacco or e-cigarette products (menthol was not banned in e-cigarette products) compared with their preban plans (12 [5.8%])."""
Chaiton_2018_Association of Ontario's Ban on Menthol Cigarettes ,"Fur?thermore, 29.1% of menthol smokers attempted to quit ?smoking shortly after ban implementation. Because previ?ous studies2,3 have found an expected rate of 0.5 quit ?attempts and a 7.7% abstinence rate during a 6-month ?period in this population, this finding suggests that the ban ?substantially increased quit attempts.","Menthol Cigarette Ban
+(S)
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",Menthol Cigarette Ban,Quit Attempts (Post Ban) (+) (+) (+) (+),+(S),"""In contrast, a larger proportion (60 [29.1%]) attempted to quit compared with only 30 (14.5%) who said they would do so."""
Chaiton_2019_Evaluating a Real World Ban on Menthol Cigarettes,"In contrast, a sudden decline was observed in menthol sales in ??Ontario with the model attributing a decline of 55.0 million cigar?ettes (95% CI: = ?78.5 to ?31.5) (see Table 1) as sales of menthol ??cigarettes fell to approximately 0 after the ban.","Menthol Cigarette Ban
- (O)
Menthol Cigarette sales (+) (+) (+)
Agree",Menthol Cigarette Ban,Menthol Cigarette sales (+) (+) (+),- (O), 
Chaiton_2019_Evaluating a Real World Ban on Menthol Cigarettes,The model-based ??estimate suggests a nonsignificant decline of 4% of nonmenthol sales ??associated with the implementation of the ban in Ontario (? = ?72.8; ??95% CI = ?155.6 to 10.0);,"Menthol Cigarette Ban
=
Wholesale Sales of Non-menthol Cigarettes
Agree",Menthol Cigarette Ban,Wholesale Sales of Non-menthol Cigarettes,=, 
Chaiton_2019_Evaluating a Real World Ban on Menthol Cigarettes,"Overall, sales of ??all cigarettes fell by 127.8 million cigarettes (95% CI = ?208.2 to ???47.4) or 11% of all sales.","Menthol Cigarette Ban
- (O)
Total cigarette sales (+)
Agree",Menthol Cigarette Ban,Total cigarette sales (+),- (O), 
Chaiton_2020_Product Substitution After A Real-World Menthol Ban,Daily and occasional menthol users were more likely to report making a quit attempt,"Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
+(S)
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Quit Attempts (Post Ban) (+) (+) (+) (+),+(S),"""Daily and occasional menthol users were more likely to report making a quit attempt (63% and 62% vs. 43%; p"
Chaiton_2020_Product Substitution After A Real-World Menthol Ban,or not smoking,"Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
+(S)
Quitting smoking post-menthol ban (+)
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Quitting smoking post-menthol ban (+),+(S),"""Daily and occasional menthol users were more likely to report making a quit attempt (63% and 62% vs. 43%; p"
Chaiton_2020_Product Substitution After A Real-World Menthol Ban,"Pre-ban use of alternative products, flavoured products, e-cigarettes, or cigars was higher ??among occasional menthol smokers compared to daily and non-menthol smokers prior to the ??ban (other tobacco products: 71% vs. 57% and 29%; p","Being a pre-ban occasional menthol smoker (vs daily or non-menthol smoker)
+(S)
Pre-ban use of alternative products, flavoured products, e-cigarettes, or cigars
Agree",Being a pre-ban occasional menthol smoker (vs daily or non-menthol smoker),"Pre-ban use of alternative products, flavoured products, e-cigarettes, or cigars",+(S), 
Chaiton_2020_Product Substitution After A Real-World Menthol Ban,use of these products during the period after the ??ban was also higher among occasional menthol smokers compared to daily and non-menthol ??smokers before the ban (other tobacco products: 57% vs. 47% and 28%; p,"Being a pre-ban occasional menthol smoker (vs daily or non-menthol smoker)
+(S)
Post-ban use of alternative products, flavoured products, e-cigarettes, or cigars
Agree",Being a pre-ban occasional menthol smoker (vs daily or non-menthol smoker),"Post-ban use of alternative products, flavoured products, e-cigarettes, or cigars",+(S), 
Chaiton_2020_Product Substitution After A Real-World Menthol Ban,"relative to non-menthol cigarette smokers at ??baseline, both baseline daily and occasional menthol cigarette smokers were more likely to ??use flavoured cigar products (adjusted relative risk, RR=1.53, 95% confidence interval, ??CI=1.01, 2.31; adjusted RR=1.57, 95% CI=1.06, 2.30) after the ban, controlling for previous ??use of this product, other smoking characteristics, and demographic characteristics (Table 2).","Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+)
+(S)
Post-ban use of flavored cigars
Agree",Menthol Smoker (Vs. Non-Menthol Smoker) (+) (+) (+) (+) (+) (+),Post-ban use of flavored cigars,+(S), 
Chaiton_2020_Product Substitution After A Real-World Menthol Ban,"occasional menthol smokers were more likely to use other tobacco products ??(adjusted RR=1.25, 95% CI=1.02, 1.53) and flavoured other tobacco products (adjusted ??RR=1.56, 95% CI=1.09, 2.24) after the ban.","Being a pre-ban occasional menthol smoker (vs daily or non-menthol smoker)
+(S)
Post-ban use of alternative products, flavoured products, e-cigarettes, or cigars
Agree",Being a pre-ban occasional menthol smoker (vs daily or non-menthol smoker),"Post-ban use of alternative products, flavoured products, e-cigarettes, or cigars",+(S), 
Chaiton_2020_Product Substitution After A Real-World Menthol Ban,"Forty-nine (10%) of 124 who used flavoured ??other tobacco products after the ban reported abstinence after making a quit attempt, ??compared to 135 (26%) of the 389 who did not use flavoured products after the ban.","Post-ban use of alternative products, flavoured products, e-cigarettes, or cigars (+)
- (O)
Reporting successful cigarette quit attempt
Agree","Post-ban use of alternative products, flavoured products, e-cigarettes, or cigars (+)",Reporting successful cigarette quit attempt,- (O), 
Chaiton_2020_Product Substitution After A Real-World Menthol Ban,"After controlling for demographics and tobacco use characteristics before and after the ban, ??no significant association was found between the post-ban use of any other tobacco products ??(adjusted RR=0.82, 95% CI=0.48, 1.41) or flavoured other tobacco products (adjusted ? Chaiton et al. Page 5 Tob Regul Sci. Author manuscript; available in PMC 2021 August 03. Author Manuscript Author Manuscript Author Manuscript Author ManuscriptRR=1.13, 95% CI=0.59, 2.16) and making a cigarette smoking quit attempt.","Post-ban use of other flavoured tobacco products
=
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",Post-ban use of other flavoured tobacco products,Quit Attempts (Post Ban) (+) (+) (+) (+),=,"""After controlling for demographics and tobacco use characteristics before and after the ban, no significant association was found between the post-ban use of any other tobacco products (adjusted RR=0.82, 95% CI=0.48, 1.41) or flavoured other tobacco products (adjusted RR=1.13, 95% CI=0.59, 2.16) and making a cigarette smoking quit attempt."" Review: this needs to be split into two causal linkages."
Chaiton_2020_Product Substitution After A Real-World Menthol Ban,h,"Post-ban use of unflavoured tobacco products
=
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",Post-ban use of unflavoured tobacco products,Quit Attempts (Post Ban) (+) (+) (+) (+),=,"""After controlling for demographics and tobacco use characteristics before and after the ban, no significant association was found between the post-ban use of any other tobacco products (adjusted RR=0.82, 95% CI=0.48, 1.41) or flavoured other tobacco products (adjusted RR=1.13, 95% CI=0.59, 2.16) and making a cigarette smoking quit attempt."""
Chaiton_2020_The use of flavour cards and other additives after ,"Overall, 14.6% (95% CI: 11.0 to 19.2) ??of pre-menthol ban daily menthol ciga?rette smokers had reported using some ??sort of additive since the ban compared ??with 9.8% (95% CI: 7.8 to 12.2) of pre-menthol ban occasional menthol cigarette ??smokers (table 1).","Being a pre-menthol ban daily menthol cigarette smoker (vs occasional menthol cigarette use)
+(S)
Using Flavor additives post-menthol ban
Agree",Being a pre-menthol ban daily menthol cigarette smoker (vs occasional menthol cigarette use),Using Flavor additives post-menthol ban,+(S), 
Chaiton_2020_The use of flavour cards and other additives after ,"Before the menthol ??ban, 4.4% (95% CI: 2.6 to 7.8) of daily ??menthol smokers had previously tried ??flavour additives, rising to 5.1% (95% ??CI: 2.9 to 8.7) by January 2017, 12.5%","Menthol Cigarette Ban
+(S)
using flavor additives post ban among pre-ban daily menthol cigarette smokers
Agree",Menthol Cigarette Ban,using flavor additives post ban among pre-ban daily menthol cigarette smokers,+(S),"""Before the menthol ban, 4.4% (95% CI: 2.6 to 7.8) of daily menthol smokers had previously tried flavour additives, rising to 5.1% (95% CI: 2.9 to 8.7) by January 2017, 12.5% (95%CI: 8.5 to 18.0) by 2018 and 9.5% (95% CI: 5.9 to 14.9) in 2019"""
Chaiton_2020_The use of flavour cards and other additives after ,Flavour ??additive use was not significantly associ?ated with making a quit attempt.,"using flavor additives (vs. not using) post ban among pre-ban daily menthol cigarette smokers
=
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",using flavor additives (vs. not using) post ban among pre-ban daily menthol cigarette smokers,Quit Attempts (Post Ban) (+) (+) (+) (+),=,"""In 2018, 2.6% (95%CI: 1.3 to 5.1) of pre-ban non-menthol smokers had also tried the after-market additives, falling to 0.8% (95% CI: 0.2 to 3.0) in 2019. Flavour additive use was not significantly associated with making a quit attempt."""
Chaiton_2021_Analysis of Wholesale Cigarette Sales in Canada Aft,"Menthol cigarette sales increased gradually in all 10 Canadian provinces from 2013 until the menthol ?cigarette ban was implemented. After the bans, sales of menthol cigarettes decreased to 0 in all ?provinces,","Menthol Cigarette Ban
- (O)
Menthol Cigarette sales (+) (+) (+)
Agree",Menthol Cigarette Ban,Menthol Cigarette sales (+) (+) (+),- (O), 
Chaiton_2021_Analysis of Wholesale Cigarette Sales in Canada Aft,"In general, there was no significant trend in overall cigarette sales before implementation of the ?menthol cigarette bans (beginning in May 2015) (0.001%; 95% CI, –0.002% to 0.004%; P = .48). ?There was a nonsignificant decline in trend after the bans (?0.06%; 95% CI, ?0.21% to 0.09%; ?P = .39) (Table)","Menthol Cigarette Ban
=
Total cigarette sales (+)
Agree",Menthol Cigarette Ban,Total cigarette sales (+),=, 
Chaiton_2021_Prior Daily Menthol Smokers More Likely to Quit 2 Y,female,"Being Female (vs. Male) (+) (+) (+) (+) (+) (+) (+)
+(S)
Menthol Cigarette Smoking
Agree",Being Female (vs. Male) (+) (+) (+) (+) (+) (+) (+),Menthol Cigarette Smoking,+(S),"""Daily and occasional menthol smokers were more likely to be female, non-white, and have more than a high school education than non-menthol smokers"""
Chaiton_2021_Prior Daily Menthol Smokers More Likely to Quit 2 Y,non-white,"Being Non-white (vs. White)
+(S)
Menthol Cigarette Smoking
Agree",Being Non-white (vs. White),Menthol Cigarette Smoking,+(S),"""Daily and occasional menthol smokers were more likely to be female, non-white, and have more than a high school education than non-menthol smokers"""
Chaiton_2021_Prior Daily Menthol Smokers More Likely to Quit 2 Y,high school education,"Having more than high school education (vs. less than)
+(S)
Menthol Cigarette Smoking
Agree",Having more than high school education (vs. less than),Menthol Cigarette Smoking,+(S),"""Daily and occasional menthol smokers were more likely to be female, non-white, and have more than a high school education than non-menthol smokers"""
Chaiton_2021_Prior Daily Menthol Smokers More Likely to Quit 2 Y,Daily menthol smokers reported an average of 3.0 quit attempts ??(0.65 standard error [SE]) since the ban compared to 2.6 (0.26 SE) ??attempts among occasional menthol smokers and 1.2 attempts ??(0.14 SE) among non-menthol smokers.,"Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+)
+(S)
smoking quit attempt post-menthol cigarette ban
Agree",Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+),smoking quit attempt post-menthol cigarette ban,+(S), 
Chaiton_2021_Prior Daily Menthol Smokers More Likely to Quit 2 Y,"Two years post-ban, men?thol smokers, both daily and occasional, were more likely to report ??having quit smoking (12% and 10% vs. 3%; p ","Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+)
+(S)
Quitting smoking post-menthol ban (+)
Agree",Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+),Quitting smoking post-menthol ban (+),+(S), 
Chaiton_2021_Prior Daily Menthol Smokers More Likely to Quit 2 Y,"Daily menthol smokers had signifi?cantly higher likelihood of reporting having quit smoking (adjusted ??risk ratio (ARR) 2.08; 95% confidence interval (CI) 1.20–3.61) ??compared to non-menthol smokers, controlling for smoking and ??demographic characteristics","Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+)
+(S)
Quitting smoking post-menthol ban (+)
Agree",Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+),Quitting smoking post-menthol ban (+),+(S), 
Chaiton_2021_Prior Daily Menthol Smokers More Likely to Quit 2 Y,"Unadjusted analysis displayed ??a significant increase in the probability of reporting more quit at?tempts for daily and occasional menthol smokers compared to non-menthol smokers, which remained in the adjusted analysis","Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+)
+(S)
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+),Quit Attempts (Post Ban) (+) (+) (+) (+),+(S), 
Chaiton_2021_Prior Daily Menthol Smokers More Likely to Quit 2 Y,"After adjustment for baseline smoking and ??demographic characteristics, there was no difference in rates of re?lapse by baseline menthol status","Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+)
=
Relapse after post-menthol ban quitting
Agree",Being a pre-ban daily menthol cigarette smoker (vs non-menthol smoker) (+),Relapse after post-menthol ban quitting,=, 
Chaiton_2021_Prior Daily Menthol Smokers More Likely to Quit 2 Y,"That is, people who had smoked menthol at baseline who had not ??quit smoking by the 1-year follow-up, were less likely to be smoke-free at the 2-year follow-up if they also reported having used other ??flavored products, suggesting an impact of substitution on being able ??to quit smoking","Post-ban use of alternative products, flavoured products, e-cigarettes, or cigars (+)
- (O)
Quitting smoking post-menthol ban (+)
Agree","Post-ban use of alternative products, flavoured products, e-cigarettes, or cigars (+)",Quitting smoking post-menthol ban (+),- (O), 
Chung-Hall et al_2023_Illicit cigarette purchasing after impleme,"This study provides important evidence that menthol cigarette ??bans did not increase the use or purchasing of illicit menthol ??cigarettes in Canada. We found that among pre-ban menthol ??smokers, 19.5% (36/138) said they still smoked menthols at ??post-ban. However, brand validation analysis showed that only ??10.5% (17/138) reported a verified menthol brand as their ??regular brand—of those, 7.9% (13/138) bought a menthol brand ??at their last purchase. (It should be noted that brand validation ??analysis can also be used to identify instances when a smoker ??claimed to be smoking a non-menthol brand but was actually ??smoking a menthol brand. We found no such cases of this oppo?site error.)","Menthol Flavor Ban
=
Illicit Purchasing
Agree",Menthol Flavor Ban,Illicit Purchasing,=, 
